
NEW TRIAL
+----+-----------------------------+-----------+
|    | Function                    |   Time(s) |
|----+-----------------------------+-----------|
|  0 | build_gru                   |   1.816   |
|  1 | build_lstm                  |   1.669   |
|  2 | data_processing_mdl_24      |   0.002   |
|  3 | training_LSTM_mdl_24        |  17.159   |
|  4 | training_GRU_mdl_24         |  11.295   |
|  5 | testing_LSTM_mdl_24         |   2.646   |
|  6 | testing_GRU_mdl_24          |   2.297   |
|  7 | data_processing_mdl_36      |   0.002   |
|  8 | training_LSTM_mdl_36        |  14.436   |
|  9 | training_GRU_mdl_36         |   3.589   |
| 10 | testing_LSTM_mdl_36         |   0.209   |
| 11 | testing_GRU_mdl_36          |   0.166   |
| 12 | data_processing_mdl_48      |   0.003   |
| 13 | training_LSTM_mdl_48        |  21.052   |
| 14 | training_GRU_mdl_48         |   5.111   |
| 15 | testing_LSTM_mdl_48         |   0.211   |
| 16 | testing_GRU_mdl_48          |   0.165   |
| 17 | data_processing_mdl_60      |   0.003   |
| 18 | training_LSTM_mdl_60        |  27.67    |
| 19 | training_GRU_mdl_60         |   6.699   |
| 20 | testing_LSTM_mdl_60         |   0.209   |
| 21 | testing_GRU_mdl_60          |   0.166   |
| 22 | data_processing_mdl_72      |   0.002   |
| 23 | training_LSTM_mdl_72        |  34.424   |
| 24 | training_GRU_mdl_72         |   8.298   |
| 25 | testing_LSTM_mdl_72         |   0.216   |
| 26 | testing_GRU_mdl_72          |   0.167   |
| 27 | FedAVG with Participants=2  |   0.005   |
| 28 | FedAVG with Participants=3  |   0.00513 |
| 29 | FedAVG with Participants=4  |   0.00522 |
| 30 | FedAVG with Participants=5  |   0.00626 |
| 31 | FedAVG with Participants=6  |   0.0082  |
| 32 | FedAVG with Participants=7  |   0.00925 |
| 33 | FedAVG with Participants=8  |   0.00904 |
| 34 | FedAVG with Participants=9  |   0.01028 |
| 35 | FedAVG with Participants=10 |   0.01117 |
| 36 | FedAVG with Participants=15 |   0.01762 |
| 37 | FedAVG with Participants=20 |   0.02123 |
| 38 | FedAVG with Participants=25 |   0.02771 |
+----+-----------------------------+-----------+

NEW TRIAL
+----+-----------------------------+-----------+
|    | Function                    |   Time(s) |
|----+-----------------------------+-----------|
|  0 | build_gru                   |   1.804   |
|  1 | build_lstm                  |   1.67    |
|  2 | data_processing_mdl_24      |   0.002   |
|  3 | training_LSTM_mdl_24        |  17.209   |
|  4 | training_GRU_mdl_24         |  11.358   |
|  5 | testing_LSTM_mdl_24         |   2.646   |
|  6 | testing_GRU_mdl_24          |   2.302   |
|  7 | data_processing_mdl_36      |   0.002   |
|  8 | training_LSTM_mdl_36        |  14.44    |
|  9 | training_GRU_mdl_36         |   3.625   |
| 10 | testing_LSTM_mdl_36         |   0.208   |
| 11 | testing_GRU_mdl_36          |   0.165   |
| 12 | data_processing_mdl_48      |   0.002   |
| 13 | training_LSTM_mdl_48        |  21.317   |
| 14 | training_GRU_mdl_48         |   5.123   |
